"自治体コード","行番号","都道府県名","市区町村名","営業施設名称、屋号又は商号","営業施設名称、屋号又は商号（フリガナ）","営業の種類","業態","営業施設所在地","営業施設方書","緯度","経度","営業施設電話番号","法人名","法人番号","法人住所","許可番号","初回許可年月日","許可年月日","許可開始日","許可満了日","廃業年月日","申請区分","許可条件","備考"
"047000","fBiz00000107550000000001","沖縄県","那覇市","おきなわ米販株式会社","オキナワベイハンカブシキガイシャ","⑧ 米穀類販売業","精穀業、米穀卸売業","沖縄県島尻郡南風原町字山川286-1","",26.177702,127.719510,"098-888-4090","おきなわ米販株式会社","4360001013655","沖縄県島尻郡南風原町字山川286-1","","","","","","","届出","",""
"047000","fBiz00000107550000000001","沖縄県","那覇市","おきなわ米販株式会社","オキナワベイハンカブシキガイシャ","⑳ 精穀・製粉業","精穀業、米穀卸売業","沖縄県島尻郡南風原町字山川286-1","",26.177702,127.719510,"098-888-4090","おきなわ米販株式会社","4360001013655","沖縄県島尻郡南風原町字山川286-1","","","","","","","届出","",""
"047000","fBiz00000108410000000384","沖縄県","那覇市","ルネサンスライカム","ルネサンスライカム","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","沖縄県中頭郡北中城村ライカム640","",26.315049,127.799075,"098-931-1231","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000000476","沖縄県","那覇市","マシンピラティススタジオRintosullイオンモール沖縄ライカム","マシンピラティススタジオリントスルイオンモールオキナワライカム","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","沖縄県中頭郡北中城村字ライカム1","イオンモール沖縄ライカム 5F",26.313199,127.796158,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000000673","沖縄県","那覇市","LAVA与那原","ラバヨナハラ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","沖縄県島尻郡与那原町与那原1114","かねひで運玉ゆいゆいプラザ1F        ",26.210804,127.760211,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000000675","沖縄県","那覇市","LAVA与那原","ラバヨナハラ","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","","沖縄県島尻郡与那原町与那原1114","かねひで運玉ゆいゆいプラザ1F        ",26.210804,127.760211,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000001156","沖縄県","那覇市","MEGAドン・キホーテ宜野湾","メガドン・キホーテギノワン","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","沖縄県宜野湾市大山７丁目7-12","",26.287506,127.746522,"","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000001181","沖縄県","那覇市","エニタイムうるま石川		","エニタイムウルマイシカワ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","沖縄県うるま市石川		1-40-1 2F","","","","098-943-2961","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000108410000001185","沖縄県","那覇市","MEGAドン・キホーテうるま		","メガドン・キホーテウルマ","⑤ コップ式自動販売機（自動洗浄・屋内設置）","","沖縄県うるま市塩屋浜原		502-1","","","","0570-054-51","株式会社朋コーポレーション","1010601025096","東京都墨田区錦糸１丁目２番１号アルカセントラル５階","","","","","","","届出","",""
"047000","fBiz00000112170000000005","沖縄県","那覇市","沖縄食糧株式会社","オキナワショクリョウカブシキガイシャ","⑧ 米穀類販売業","","沖縄県浦添市勢理客4-4-1","",26.244325,127.690826,"098-875-0011","沖縄食糧株式会社","1360001008542","沖縄県浦添市勢理客4丁目-4番-1号","","","","","","","届出","",""
"047000","fBiz00000112170000000006","沖縄県","那覇市","沖縄食糧株式会社","オキナワショクリョウカブシキガイシャ","㉔ 麺類製造業","卸売業","沖縄県浦添市勢理客4丁目4番1号","",26.244325,127.690826,"098-875-0011","沖縄食糧株式会社","1360001008542","沖縄県浦添市勢理客4丁目-4番-1号","05202301024",2023/12/26,2023/12/26,2023/12/26,2030/01/31,"","許可","",""
"047000","fBiz00000115920000000160","沖縄県","那覇市","カルディコーヒーファーム　イオンモール沖縄ライカム店","カルディコーヒーファーム　イオンモールオキナワライカムテン","⑬ その他の食料・飲料販売業","食品販売","沖縄県中頭郡北中城村ライカム1番地 ","イオンモール沖縄ライカム 2F",26.313199,127.796158,"098-931-0505","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"047000","fBiz00000115920000000161","沖縄県","那覇市","カルディコーヒーファーム　サンエー宜野湾店","カルディコーヒーファーム　サンエーギノワンテン","⑬ その他の食料・飲料販売業","食品販売","沖縄県宜野湾市宇地泊3-6-1","サンエー宜野湾コンベンションシティ1F",26.258166,127.765017,"098-890-6011","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"047000","fBiz00000115920000000162","沖縄県","那覇市","カルディコーヒーファーム　浦添パルコシティ店","カルディコーヒーファーム　ウラゾエパルコシティテン","⑬ その他の食料・飲料販売業","食品販売","沖縄県浦添市西洲3-1-1 ","サンエー浦添西海岸 PARCO CITY 1F",26.261874,127.697564,"098-871-1330","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"047000","fBiz00000115920000000531","沖縄県","那覇市","カルディコーヒーファーム  サンエー具志川店","カルディコーヒーファーム　サンエーグシカワテン","⑬ その他の食料・飲料販売業","小売業","沖縄県うるま市江洲450-1","サンエー具志川メインシティ 1F",26.352728,127.825690,"098-975-6259","株式会社キャメル珈琲","6010901003292","東京都世田谷区代田2-31-8","","","","","","","届出","",""
"047000","fBiz00000119920000000001","沖縄県","那覇市","海邦保育園","カイホウホイクエン","㉖ 集団給食施設","","沖縄県石垣市大川９９１番地６","",24.357944,124.167769,"0980836161","","","","","","","","","","届出","",""
"047000","fBiz00000126290000000001","沖縄県","那覇市","社会福祉法人慈母福祉会　南風原はなぞの保育園","シャカイフクシホウジンジボフクシカイハエバルハナゾノホイクエン","㉖ 集団給食施設","","沖縄県島尻郡南風原町大名156-4","",26.208158,127.738156,"098-889-3425","社会福祉法人　慈母福祉会　南風原はなぞの保育園","1360005001790","沖縄県島尻郡南風原町大名156-4","","","","","","","届出","",""
